Time,Open,High,Low,Close,Volume
1643130000.0,36837.7,37481.75,36800,37273.33,3299.07838
1643126400.0,36530,37086.64,36492.48,36837.7,2613.07831
1643122800.0,36299.99,36780,35967.33,36530,3943.20294
1643119200.0,36497.39,37149.42,36252,36299.99,5493.26524
1643115600.0,36519.12,36579.99,36259.1,36498,2008.17575
1643112000.0,36406,36777.77,36201.68,36519.13,2239.52587
1643108400.0,36430.38,36600.44,36227.52,36406,1671.86116
1643104800.0,36409.42,36800,36287.89,36430.39,2119.05038
1643101200.0,36070.55,36510,36040.01,36409.42,1732.94507
1643097600.0,36044.01,36564.07,36003.3,36070.55,2586.71157
1643094000.0,35843.89,36106,35701,36044.01,2304.11612
1643090400.0,36054.81,36150.92,35835.01,35843.89,1178.97473
1643086800.0,35950.01,36110.81,35828.56,36054.81,1074.45012
1643083200.0,36424.5,36496.62,35869.39,35950,1385.55765
1643079600.0,36317.26,36460.03,36166.44,36424.49,1243.18572
1643076000.0,36125.31,36335.48,36084.85,36317.27,1219.60501
1643072400.0,36038.09,36196.14,35955.43,36125.31,1476.27625
1643068800.0,36660.35,36691.87,36012.01,36037.58,2316.09504
1643065200.0,36369.43,36767.09,36355.29,36660.35,1391.55837
1643061600.0,36807.92,36842.95,36187.99,36369.44,1787.55587
1643058000.0,37218.56,37264.93,36711,36805.22,2593.81306
1643054400.0,36066.4,37550,35951.13,37220.05,5869.76657
1643050800.0,36179.99,36340.54,35652.04,36066.4,3343.8888
1643047200.0,35363.11,36436,35190.13,36179.99,6898.86151
1643043600.0,34417.75,35535.69,34164.58,35363.1,6482.58003
1643040000.0,34237.31,34576.01,33803.13,34417.76,5092.2017
1643036400.0,33622.7,34388.38,33222.74,34233.95,5093.02808
1643032800.0,33335.23,34138.16,33100,33622.71,6736.36178
1643029200.0,33114.89,33776.02,32917.17,33335.23,5992.271636
1643025600.0,33697.12,33890,33036.44,33114.9,4676.83642
1643022000.0,33276.59,34249.88,33029.54,33697.11,7055.750112
1643018400.0,34510.04,34600,33250,33276.59,9899.637053
1643014800.0,34959.79,35093.13,34401.5,34512.2,4020.43347
1643011200.0,34887.9,35562.15,34792.53,34959.79,2826.29586
1643007600.0,35265.14,35314.95,34811.87,34888.81,1539.02685
1643004000.0,35184.06,35356.65,35054.01,35265.37,866.0993
1643000400.0,35123.57,35249.27,34936.37,35184.06,1446.73836
1642996800.0,35338.25,35473.45,35065,35123.56,1125.94361
1642993200.0,35201.17,35399.99,35169,35338.26,1177.47497
1642989600.0,35650.01,35715.01,35160.51,35201.17,1378.44743
1642986000.0,35840.3,36042.21,35600,35652.22,1768.74664
1642982400.0,36244.55,36251.5,35744.18,35840.29,2840.27858
1642978800.0,35508.47,36499,35383.36,36244.55,5413.71115
1642975200.0,35346.15,35545.76,35273.15,35508.47,879.09708
1642971600.0,35300.13,35566.66,35083.76,35346.15,1220.14574
1642968000.0,34775.45,35387.8,34707.58,35300.13,1423.65154
1642964400.0,34956.28,35205.52,34601.01,34775.45,2427.93169
1642960800.0,35332.59,35398.38,34870.01,34956.27,1680.38554
1642957200.0,35228.44,35445.49,35189.99,35332.6,679.94542
1642953600.0,35282.66,35450,35156,35228.45,1092.05916
1642950000.0,35323.85,35374.31,35111.56,35287.58,1220.17508
1642946400.0,35969.28,36080.5,35050.4,35323.85,2815.83709
1642942800.0,35803.21,36055,35700.45,35969.27,1067.45596
1642939200.0,35686.29,35832.36,35557.92,35803.21,1477.86519
1642935600.0,35902.12,35906.76,35608.38,35686.29,1186.28742
1642932000.0,35877.41,35948.74,35577,35902.12,2006.87413
1642928400.0,35846.77,36150.76,35738.61,35882.35,3097.09365
1642924800.0,35571.19,35961.23,35325.03,35846.77,3322.40868
1642921200.0,35279.84,35758.64,35221.79,35571.19,2491.21573
1642917600.0,35456.4,35600.47,35165.22,35279.83,2127.59829
1642914000.0,35217.65,35565.09,34940.09,35456.4,2227.65018
1642910400.0,35051.01,35295.97,34952.06,35217.66,1107.66038
1642906800.0,34875.3,35101.53,34811,35051,992.94236
1642903200.0,35316.99,35346.21,34834.92,34875.29,1373.11037
1642899600.0,35401.11,35526.28,35268.34,35315.04,1347.04206
1642896000.0,35071.42,35479.11,34944,35401.1,1599.56552
1642892400.0,34875,35107,34730,35071.42,899.09342
1642888800.0,35383.95,35395.26,34728.12,34875,1148.42973
1642885200.0,35287.5,35729.03,35078.55,35387.01,1986.50639
1642881600.0,34528.61,35500,34415.95,35287.51,4222.95278
1642878000.0,34392.12,34854.84,34346.54,34528.62,1919.38842
1642874400.0,34610,34800,34243.38,34392.12,2829.73802
1642870800.0,35095.23,35217.94,34500,34610.01,2681.65926
1642867200.0,34838.69,35501.96,34520.59,35100.02,4478.77231
1642863600.0,35009.27,35319.99,34805.32,34838.68,3028.27691
1642860000.0,35576.29,35656.93,34988.8,35009.27,2910.19612
1642856400.0,35769.8,36192.76,35518.2,35576.3,3716.30079
1642852800.0,35406.76,35900,35336.23,35768,4109.41153
1642849200.0,35488.54,35693.09,34801,35406.76,4811.75394
1642845600.0,34812.32,35948.01,34008,35488.54,13411.254931
1642842000.0,35599.94,35737.15,34664,34814.49,6202.550832
1642838400.0,35400.01,35819.73,35397.36,35599.94,3444.07533
1642834800.0,35719.01,35895,35112.84,35400.02,5275.295648
1642831200.0,35738.77,35984.68,35400.02,35719,4422.6716
1642827600.0,36278.52,36342.71,35600.01,35738.77,3668.48226
1642824000.0,36340.43,36423.82,36200,36278.51,2333.69766
1642820400.0,36467.22,36690,36009.98,36341.64,4636.90627
1642816800.0,36483.15,36549.91,36263,36467.23,2152.67794
1642813200.0,36487.96,36619.71,36032.02,36483.15,3329.2034
1642809600.0,36445.31,36835.22,36136.66,36487.96,2851.44036
1642806000.0,36123.85,36890,35780.66,36445.31,4978.69381
1642802400.0,36682.23,37201.16,35440.45,36117.6,7369.871214
1642798800.0,38350.62,38464.36,36158,36682.23,9838.083956
1642795200.0,37984.11,38470,37601,38355.16,4167.188224
1642791600.0,38268.42,38500,37946,37984.12,1421.77249
1642788000.0,38383.49,38644.02,37850,38265.12,2652.0984
1642784400.0,38720.72,38752.7,38284.84,38382.5,1904.82598
1642780800.0,38857.24,39071.13,38514,38720.72,2224.01303
1642777200.0,38429.12,39042.4,38103.13,38857.26,3629.43541
1642773600.0,38491.01,38934.29,38253.48,38429.11,3134.162
1642770000.0,38186.16,38751.6,38150.03,38491.01,3898.63606
1642766400.0,38898.19,38933.04,37710,38186.16,5714.997913
1642762800.0,38965.92,38979.2,38668.19,38898.18,1616.61558
1642759200.0,38959.77,39320,38848.35,38965.92,1604.74586
1642755600.0,39157.63,39189.63,38915.25,38959.77,1560.93293
1642752000.0,39136.31,39297.55,39006.71,39157.63,1916.83863
1642748400.0,38680.01,39177.2,38465.67,39134.55,2102.96586
1642744800.0,38909.01,38936.66,38536.87,38679.8,2090.99691
1642741200.0,38842.03,38998,38700.19,38909.01,2658.65959
1642737600.0,38465.65,39070,38437.15,38842.03,3091.42065
